id,title,description,availability,condition,price,link,image_link,brand,product_type,quantity_to_sell_on_facebook
1476015102,Gancho c/mariposa x 100 unidades,"Gancho c/mariposa x 100 unidades El aislador móvil con gancho está diseñado para cercas eléctricas móviles, permitiendo un ajuste práctico y seguro de la alt...",in stock,new,104730.00 ARS,https://tienda.plyrap.com.ar/productos/gancho-c-mariposa-x-100-unidades/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/32073a53184702c7.jpg,Plyrap,,
1476015139,Hilo electroplástico 7 cond. 500 mts.,"Hilo electroplástico 7 cond. 500 mts. Hilo Electroplástico Plyrap – 500 m, 7 Hebras de Acero El hilo electroplástico de 500 metros está diseñado para cercas ...",in stock,new,45665.00 ARS,https://tienda.plyrap.com.ar/productos/hilo-electroplastico-7-cond-500-mts/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/6554efe0057cdf19.jpg,Plyrap,,
1483241334,Kit de toma tierra 1.5m x 11/2 diámetro,Kit de toma tierra 1.5m x 11/2 diámetro El kit de toma a tierra para cerco eléctrico es un componente esencial para garantizar el correcto funcionamiento del...,in stock,new,121760.00 ARS,https://tienda.plyrap.com.ar/productos/kit-de-toma-tierra-1-5m-x-11-2-diametro/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/fa52109abdf892f0.jpg,Plyrap,,1
1476015143,Malla para ovinos y caprinos 90 cm x 50 m + 15 varillas,"Red malla electrica para ovinos y caprinos: 50 m de largo, 90 cm de alto y 15 varillas. $8.873 el metro. Envio gratis a todo el pais.",in stock,new,443647.00 ARS,https://tienda.plyrap.com.ar/productos/malla-para-ovinos/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/3b90543e8c266d76.jpg,Plyrap,,29
1476015113,Manija Aislante MAX,"Manija Aislante MAX La manija aislada está diseñada para la instalación de pasos o puertas en cercos eléctricos, permitiendo una apertura y cierre fáciles de...",in stock,new,9503.00 ARS,https://tienda.plyrap.com.ar/productos/manija-aislante-max/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/4bec835d3cc875b9.jpg,Plyrap,,50
1476015119,Manija Conductora 2 en 1,"Manija Conductora 2 en 1 La manija conductora 2 en 1 para cerco eléctrico es un componente clave para realizar aperturas seguras y prácticas en el cerco, per...",in stock,new,6241.00 ARS,https://tienda.plyrap.com.ar/productos/manija-conductora-2-en-1/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/6477e16b704f56f3.jpg,Plyrap,,
1483238410,Torniquete con aislador para cerco eléctrico,Torniquete con aislador para cerco eléctrico El torniquete tensor con aislador plástico es un accesorio esencial para lograr una correcta tensión del alambre...,in stock,new,35642.00 ARS,https://tienda.plyrap.com.ar/productos/torniquete-con-aislador-para-cerco-electrico/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/d4dd38c3f718ff76.jpg,Plyrap,,100
1476015130,"Válvula c/tapa 1 1/2""","Válvula c/tapa 1 1/2"" La válvula de fibra de 1 1/2"" para bebederos está construida en resina fenólica, una materia prima compuesta por fibras de algodón y re...",in stock,new,72576.00 ARS,https://tienda.plyrap.com.ar/productos/valvula-c-tapa-1-1-2/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/f54a80dba659b36a.jpg,Plyrap,,10
1476015125,"Válvula c/tapa 2""","Válvula c/tapa 2"" La válvula de fibra de 2"" para bebederos está construida en resina fenólica, una materia prima compuesta por fibras de algodón y resinas es...",in stock,new,72576.00 ARS,https://tienda.plyrap.com.ar/productos/valvula-c-tapa-2/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/8e42d6886c5b07f4.jpg,Plyrap,,10
1476015107,"Varilla de fibra 1,30m x 50 unidades","Varilla de fibra 1,30m x 50 unidades La varilla de fibra de vidrio para cerco eléctrico es una solución liviana, resistente y práctica para la instalación de...",in stock,new,180050.00 ARS,https://tienda.plyrap.com.ar/productos/varilla-de-fibra-130m-x-50-unidades/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/dd6004c9c408c859.jpg,Plyrap,,
1476015137,Varilla de hierro galvanizado 7/16,Varilla de hierro galvanizado 7/16 La varilla galvanizada para bebedero se utiliza para unir la válvula y la boya en sistemas de flotantes para bebederos. Es...,in stock,new,10587.00 ARS,https://tienda.plyrap.com.ar/productos/varilla-de-hierro-galvanizado-7-16/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/2163dd0e3b11b338.jpg,Plyrap,,
1476015104,Varilla horquilla plástica c/alma x 25 unidades,Varilla horquilla plástica c/alma x 25 unidades VARILLA PLASTICA ALMA DE ACERO 9 HILOS PLYRAP La varilla plastica reforzada Plyrap es ideal para cercas móvil...,in stock,new,216350.00 ARS,https://tienda.plyrap.com.ar/productos/varilla-horquilla-plastica-c-alma-x-25-unidades/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/5dd45da5b4a8c96f.jpg,Plyrap,,
